County,Population2022,FIPS,District,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
LYNCHBURGCITY,79287,51680,5,Bedford,Amherst,Campbell,,,,,,,,,
MADISON,14000,51113,7,Greene,Page,Rappahannock,Culpeper,Orange,,,,,,,
MANASSASCITY,42642,51683,10,PrinceWilliam,ManassasParkCity,,,,,,,,,,
MANASSASPARKCITY,16703,51685,10,PrinceWilliam,ManassasCity,,,,,,,,,,
MARTINSVILLECITY,13725,51690,9,Henry,,,,,,,,,,,
MATHEWS,8490,51115,1,Gloucester,Middlesex,Northampton,Accomack,PoquosonCity,HamptonCity,NorfolkCity,VirginiaBeachCity,,,,
MECKLENBURG,30508,51117,5,Halifax,Charlotte,Lunenburg,Brunswick,,,,,,,,
MIDDLESEX,10943,51119,1,KingAndQueen,Essex,Gloucester,Mathews,Lancaster,Accomack,Northampton,Richmond,,,,
MONTGOMERY,98915,51121,9,Pulaski,RadfordCity,Floyd,Roanoke,Craig,Giles,,,,,,
NELSON,14652,51125,5,Amherst,Rockbridge,Augusta,Albemarle,Buckingham,Appomattox,,,,,,
NEWKENT,24986,51127,1,Hanover,KingWilliam,JamesCty,CharlesCty,Henrico,Gloucester,KingAndQueen,,,,,
NEWPORTNEWSCITY,184306,51700,3,York,HamptonCity,Surry,IsleOfWight,SuffolkCity,NorfolkCity,PortsmouthCity,JamesCty,,,,
NORFOLKCITY,232995,51710,3,VirginiaBeachCity,ChesapeakeCity,PortsmouthCity,IsleOfWight,NewportNewsCity,HamptonCity,Northampton,Mathews,,,,
NORTHAMPTON,11900,51131,2,Accomack,Mathews,Middlesex,Lancaster,Northumberland,PoquosonCity,HamptonCity,NorfolkCity,VirginiaBeachCity,HamptonCity,Gloucester,York
NORTHUMBERLAND,12302,51133,1,Richmond,Westmoreland,Lancaster,Accomack,Northampton,,,,,,,
NORTONCITY,3609,51720,9,Wise,,,,,,,,,,,
NOTTOWAY,15559,51135,5,PrinceEdward,Amelia,Dinwiddie,Brunswick,Lunenburg,,,,,,,
ORANGE,37991,51137,7,Greene,Madison,Culpeper,Spotsylvania,Louisa,Albemarle,,,,,,
PAGE,23750,51139,6,Shenandoah,Warren,Rappahannock,Madison,Rockingham,Greene,,,,,,
PATRICK,17643,51141,9,Carroll,Floyd,Franklin,Henry,,,,,,,,
PETERSBURGCITY,33394,51730,4,Dinwiddie,ColonialHeightsCity,PrinceGeorge,,,,,,,,,
PITTSYLVANIA,59952,51143,5,Henry,Franklin,Bedford,Campbell,Halifax,DanvilleCity,,,,,,
POQUOSONCITY,12582,51735,1,York,Gloucester,Mathews,Northampton,HamptonCity,,,,,,,
PORTSMOUTHCITY,97029,51740,3,ChesapeakeCity,SuffolkCity,NewportNewsCity,HamptonCity,NorfolkCity,IsleOfWight,,,,,,
POWHATAN,31489,51145,5,Cumberland,Goochland,Henrico,Chesterfield,Amelia,,,,,,,
PRINCEEDWARD,21927,51147,5,Charlotte,Appomattox,Buckingham,Cumberland,Amelia,Nottoway,Lunenburg,,,,,
PRINCEGEORGE,43134,51149,4,Surry,Sussex,Dinwiddie,PetersburgCity,ColonialHeightsCity,HopewellCity,Chesterfield,CharlesCty,JamesCty,,,
PRINCEWILLIAM,486943,51153,10,Fauquier,Loudoun,Fairfax,ManassasCity,ManassasParkCity,Stafford,,,,,,
PULASKI,33706,51155,9,Bland,Wythe,Carroll,Floyd,Montgomery,RadfordCity,Giles,,,,,
RADFORDCITY,16738,51750,9,Pulaski,Montgomery,,,,,,,,,,
RAPPAHANNOCK,7502,51157,10,Page,Warren,Fauquier,Culpeper,Madison,,,,,,,
RICHMOND,9080,51159,1,Westmoreland,Northumberland,Lancaster,Essex,Middlesex,,,,,,,
RICHMONDCITY,229395,51760,4,Henrico,Chesterfield,,,,,,,,,,
ROANOKE,96914,51161,6,Craig,Montgomery,Floyd,Franklin,Bedford,Botetourt,SalemCity,RoanokeCity,,,,
ROANOKECITY,97847,51770,6,Roanoke,SalemCity,,,,,,,,,,
ROCKBRIDGE,22593,51163,6,Alleghany,Bath,Augusta,Nelson,Amherst,Bedford,Botetourt,LexingtonCity,BuenaVistaCity,,,
ROCKINGHAM,85397,51165,6,HarrisonburgCity,Augusta,Shenandoah,Page,Greene,Albemarle,,,,,,
RUSSELL,25448,51167,9,Wise,Dickenson,Buchanan,Tazewell,Smyth,Washington,Scott,,,,,
SALEMCITY,25523,51775,6,Roanoke,RoanokeCity,,,,,,,,,,
SCOTT,21476,51169,9,Lee,Wise,Russell,Washington,,,,,,,,
SHENANDOAH,44968,51171,6,Rockingham,Page,Warren,Frederick,,,,,,,,
SMYTH,29449,51173,9,Washington,Tazewell,Russell,Bland,Wythe,Grayson,,,,,,
SOUTHAMPTON,17932,51175,4,Greensville,Sussex,Surry,SuffolkCity,FranklinCity,IsleOfWight,,,,,,
SPOTSYLVANIA,146688,51177,7,Louisa,Orange,Culpeper,Stafford,FredericksburgCity,Caroline,Hanover,,,,,
STAFFORD,163380,51179,7,KingGeorge,Caroline,Spotsylvania,FredericksburgCity,Culpeper,Fauquier,PrinceWilliam,,,,,
STAUNTONCITY,25904,51790,6,Augusta,,,,,,,,,,,
SUFFOLKCITY,98537,51800,2,IsleOfWight,Southampton,ChesapeakeCity,NewportNewsCity,HamptonCity,PortsmouthCity,,,,,,
SURRY,6527,51181,4,PrinceGeorge,Sussex,IsleOfWight,Southampton,NewportNewsCity,JamesCty,CharlesCty,,,,,
SUSSEX,10680,51183,4,Greensville,Southampton,PrinceGeorge,Surry,Dinwiddie,,,,,,,
TAZEWELL,39821,51185,9,Russell,Smyth,Bland,Buchanan,,,,,,,,
VIRGINIABEACHCITY,455618,51810,2,NorfolkCity,Mathews,Northampton,HamptonCity,ChesapeakeCity,,,,,,,
WARREN,41440,51187,6,Shenandoah,Frederick,Clarke,Fauquier,Rappahannock,Page,,,,,,
WASHINGTON,53958,51191,9,Scott,Russell,Smyth,BristolCity,Grayson,,,,,,,
WAYNESBOROCITY,22808,51820,6,Augusta,,,,,,,,,,,
WESTMORELAND,18712,51193,1,KingGeorge,Essex,Richmond,Northumberland,,,,,,,,
WINCHESTERCITY,27936,51840,6,Frederick,,,,,,,,,,,
WISE,35421,51195,9,Lee,Scott,Dickenson,NortonCity,Russell,,,,,,,
WYTHE,28111,51197,9,Bland,Smyth,Grayson,Carroll,Pulaski,,,,,,,
YORK,71341,51199,1,Gloucester,JamesCty,WilliamsburgCity,NewportNewsCity,PoquosonCity,HamptonCity,Northampton,,,,,
WILLIAMSBURGCITY,15920,51830,1,JamesCty,York,,,,,,,,,,
