Unnamed: 0,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
11477,2000,VIRGINIA,VA,RUSSELL,51167,US PRESIDENT,AL GORE,DEMOCRAT,5442,10792,20220315,TOTAL
11478,2000,VIRGINIA,VA,RUSSELL,51167,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5065,10792,20220315,TOTAL
11481,2000,VIRGINIA,VA,SCOTT,51169,US PRESIDENT,AL GORE,DEMOCRAT,3552,9335,20220315,TOTAL
11482,2000,VIRGINIA,VA,SCOTT,51169,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5535,9335,20220315,TOTAL
11485,2000,VIRGINIA,VA,SHENANDOAH,51171,US PRESIDENT,AL GORE,DEMOCRAT,4420,14452,20220315,TOTAL
11486,2000,VIRGINIA,VA,SHENANDOAH,51171,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,9636,14452,20220315,TOTAL
11489,2000,VIRGINIA,VA,SMYTH,51173,US PRESIDENT,AL GORE,DEMOCRAT,4836,11740,20220315,TOTAL
11490,2000,VIRGINIA,VA,SMYTH,51173,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6580,11740,20220315,TOTAL
11493,2000,VIRGINIA,VA,SOUTHAMPTON,51175,US PRESIDENT,AL GORE,DEMOCRAT,3359,6714,20220315,TOTAL
11494,2000,VIRGINIA,VA,SOUTHAMPTON,51175,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3293,6714,20220315,TOTAL
11497,2000,VIRGINIA,VA,SPOTSYLVANIA,51177,US PRESIDENT,AL GORE,DEMOCRAT,13455,35021,20220315,TOTAL
11498,2000,VIRGINIA,VA,SPOTSYLVANIA,51177,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20739,35021,20220315,TOTAL
11501,2000,VIRGINIA,VA,STAFFORD,51179,US PRESIDENT,AL GORE,DEMOCRAT,12596,34246,20220315,TOTAL
11502,2000,VIRGINIA,VA,STAFFORD,51179,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,20731,34246,20220315,TOTAL
11505,2000,VIRGINIA,VA,SURRY,51181,US PRESIDENT,AL GORE,DEMOCRAT,1845,3230,20220315,TOTAL
11506,2000,VIRGINIA,VA,SURRY,51181,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1313,3230,20220315,TOTAL
11509,2000,VIRGINIA,VA,SUSSEX,51183,US PRESIDENT,AL GORE,DEMOCRAT,2006,3906,20220315,TOTAL
11510,2000,VIRGINIA,VA,SUSSEX,51183,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1745,3906,20220315,TOTAL
11513,2000,VIRGINIA,VA,TAZEWELL,51185,US PRESIDENT,AL GORE,DEMOCRAT,7227,16344,20220315,TOTAL
11514,2000,VIRGINIA,VA,TAZEWELL,51185,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8655,16344,20220315,TOTAL
11517,2000,VIRGINIA,VA,WARREN,51187,US PRESIDENT,AL GORE,DEMOCRAT,4313,11166,20220315,TOTAL
11518,2000,VIRGINIA,VA,WARREN,51187,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6335,11166,20220315,TOTAL
11521,2000,VIRGINIA,VA,WASHINGTON,51191,US PRESIDENT,AL GORE,DEMOCRAT,7549,20222,20220315,TOTAL
11522,2000,VIRGINIA,VA,WASHINGTON,51191,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,12064,20222,20220315,TOTAL
11525,2000,VIRGINIA,VA,WESTMORELAND,51193,US PRESIDENT,AL GORE,DEMOCRAT,2922,6026,20220315,TOTAL
11526,2000,VIRGINIA,VA,WESTMORELAND,51193,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2932,6026,20220315,TOTAL
11529,2000,VIRGINIA,VA,WISE,51195,US PRESIDENT,AL GORE,DEMOCRAT,6412,13310,20220315,TOTAL
11530,2000,VIRGINIA,VA,WISE,51195,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6504,13310,20220315,TOTAL
11533,2000,VIRGINIA,VA,WYTHE,51197,US PRESIDENT,AL GORE,DEMOCRAT,3462,10225,20220315,TOTAL
11534,2000,VIRGINIA,VA,WYTHE,51197,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6539,10225,20220315,TOTAL
11537,2000,VIRGINIA,VA,YORK,51199,US PRESIDENT,AL GORE,DEMOCRAT,8622,24583,20220315,TOTAL
11538,2000,VIRGINIA,VA,YORK,51199,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15312,24583,20220315,TOTAL
11541,2000,VIRGINIA,VA,ALEXANDRIA,51510,US PRESIDENT,AL GORE,DEMOCRAT,33633,55199,20220315,TOTAL
11542,2000,VIRGINIA,VA,ALEXANDRIA,51510,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,19043,55199,20220315,TOTAL
11545,2000,VIRGINIA,VA,BEDFORD,51515,US PRESIDENT,AL GORE,DEMOCRAT,1078,2441,20220315,TOTAL
11546,2000,VIRGINIA,VA,BEDFORD,51515,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1269,2441,20220315,TOTAL
11549,2000,VIRGINIA,VA,BRISTOL,51520,US PRESIDENT,AL GORE,DEMOCRAT,2646,6279,20220315,TOTAL
